n,name_test_case,best_fitness,best_solution,avg_fitness,avg_run_time,num of drone,num of trucks
21,C101_0.5.dat,317.0,"[[[[0, [1, 2, 5, 3, 11, 19, 13, 4]], [7, [7, 10, 14, 16]], [3, []], [5, []], [4, []], [1, []], [2, []], [6, [6, 9, 8, 20]], [9, []], [8, []], [10, []], [11, []], [13, []], [17, [17, 18, 15, 12]], [18, []], [19, []], [15, []], [16, []], [14, []], [12, []], [20, []]]], [[[7, [7, 10, 14, 16]]], [[6, [6, 9, 8, 20]]], [[17, [17, 18, 15, 12]]]]]",322.6498756211209,270.77570099830626,1,1
21,C101_1.5.dat,389.0,"[[[[0, [5, 4, 3, 2, 1, 10, 13, 11]], [1, []], [2, []], [4, [19, 18, 16, 7]], [3, []], [5, []], [7, []], [10, []], [11, []], [6, [6, 8, 9, 20]], [8, []], [9, []], [12, [12, 17, 15, 14]], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [13, []], [20, []]]], [[[4, [19, 18, 16, 7]]], [[6, [6, 8, 9, 20]]], [[12, [12, 17, 15, 14]]]]]",390.51245154965966,300.22023811340335,1,1
21,C101_1.dat,350.0,"[[[[0, [2, 1, 13, 3, 4, 19, 16, 11, 5]], [5, []], [10, [10, 7, 18]], [7, []], [3, []], [4, []], [1, []], [2, []], [6, [6, 8, 9, 17]], [8, []], [9, []], [11, []], [13, []], [17, []], [18, []], [19, []], [15, [15, 14, 12, 20]], [16, []], [14, []], [12, []], [20, []]]], [[[10, [10, 7, 18]]], [[6, [6, 8, 9, 17]]], [[15, [15, 14, 12, 20]]]]]",354.10997512422415,294.82558619976044,1,1
21,C101_2.5.dat,461.8847091308183,"[[[[0, [1, 11]], [1, [3, 5, 4, 2]], [2, []], [3, []], [5, []], [10, [10, 13, 16]], [20, [20, 19, 18, 7]], [13, [15, 14, 17, 8]], [17, []], [18, []], [19, []], [15, []], [16, []], [14, []], [12, [12, 6, 9]], [11, []], [9, []], [8, []], [4, []], [6, []], [7, []]]], [[[1, [3, 5, 4, 2]]], [[10, [10, 13, 16]]], [[20, [20, 19, 18, 7]]], [[13, [15, 14, 17, 8]]], [[12, [12, 6, 9]]]]]",475.50963748184734,309.813166975975,1,1
21,C101_2.dat,426.3016516106934,"[[[[0, [1]], [1, [2, 11, 16]], [2, []], [11, []], [10, [13, 10, 19, 5]], [20, [20, 7, 14, 18]], [13, []], [17, [17, 15, 12, 8]], [18, []], [19, []], [15, []], [16, []], [14, []], [12, []], [9, [9, 3, 4, 6]], [8, []], [7, []], [5, []], [3, []], [4, []], [6, []]]], [[[1, [2, 11, 16]]], [[10, [13, 10, 19, 5]]], [[20, [20, 7, 14, 18]]], [[17, [17, 15, 12, 8]]], [[9, [9, 3, 4, 6]]]]]",434.2376495327026,305.79431719779967,1,1
21,C101_3.dat,486.8847091308183,"[[[[0, [1, 11]], [11, []], [4, [4, 2, 3, 5]], [1, []], [2, []], [3, [16, 10]], [5, []], [10, []], [20, [20, 13, 19, 7]], [13, [17, 18, 15, 14]], [17, []], [18, []], [19, []], [15, []], [16, []], [14, []], [12, [12, 8, 9, 6]], [9, []], [8, []], [6, []], [7, []]]], [[[4, [4, 2, 3, 5]]], [[3, [16, 10]]], [[20, [20, 13, 19, 7]]], [[13, [17, 18, 15, 14]]], [[12, [12, 8, 9, 6]]]]]",501.5387120314229,310.23820755481717,1,1
21,C201_0.5.dat,483.13274595042157,"[[[[0, [1, 16, 13]], [5, [5, 4, 2, 19]], [2, []], [4, []], [3, [3, 7, 17, 14]], [7, []], [1, []], [13, []], [17, [15, 12, 18]], [18, []], [19, []], [15, []], [16, []], [14, []], [12, []], [9, [9, 10, 11, 20]], [11, []], [10, []], [8, [8, 6]], [6, []], [20, []]]], [[[5, [5, 4, 2, 19]]], [[3, [3, 7, 17, 14]]], [[17, [15, 12, 18]]], [[9, [9, 10, 11, 20]]], [[8, [8, 6]]]]]",492.2220294919851,281.3132292509079,1,1
21,C201_1.5.dat,531.9072480941475,"[[[[0, [1, 2, 13, 11]], [5, [5, 19, 3, 4]], [2, []], [3, []], [4, []], [7, [7, 14, 16, 18]], [1, []], [12, [12, 15, 17, 9]], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [13, []], [9, []], [11, [10, 20, 8, 6]], [10, []], [8, []], [6, []], [20, []]]], [[[5, [5, 19, 3, 4]]], [[7, [7, 14, 16, 18]]], [[12, [12, 15, 17, 9]]], [[11, [10, 20, 8, 6]]]]]",539.8145050877209,333.159761929512,1,1
21,C201_1.dat,490.4089406341646,"[[[[0, [1]], [1, [13, 3, 4]], [3, []], [4, []], [7, [7, 10, 2, 5]], [2, []], [5, [9, 12, 14, 8]], [8, []], [10, []], [11, [11, 16, 19, 18]], [9, []], [13, []], [12, []], [14, []], [16, [15, 17, 6, 20]], [15, []], [19, []], [18, []], [17, []], [6, []], [20, []]]], [[[1, [13, 3, 4]]], [[7, [7, 10, 2, 5]]], [[5, [9, 12, 14, 8]]], [[11, [11, 16, 19, 18]]], [[16, [15, 17, 6, 20]]]]]",503.52662567930173,327.82143578529354,1,1
21,C201_2.5.dat,633.3238075793812,"[[[[0, [1, 13, 11]], [11, []], [13, []], [1, [10, 5, 4, 3]], [4, []], [3, []], [7, [7, 2, 18]], [2, []], [5, [16, 14]], [8, [8, 19, 15, 6]], [10, []], [9, [9, 12, 17, 20]], [12, []], [14, []], [16, []], [15, []], [19, []], [18, []], [17, []], [6, []], [20, []]]], [[[1, [10, 5, 4, 3]]], [[7, [7, 2, 18]]], [[5, [16, 14]]], [[8, [8, 19, 15, 6]]], [[9, [9, 12, 17, 20]]]]]",646.0505192282152,333.4259500026703,1,1
